number,value,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lr,params_optimizer,params_step_size,state
0,0.5001,2024-01-30 23:58:24.276586,2024-01-31 00:11:15.176022,0 days 00:12:50.899436,0.3896889526176296,0.0322294666059735,0.06914259064140735,RMSprop,795.2787834218979,COMPLETE
1,0.8244,2024-01-31 00:11:15.176958,2024-01-31 00:24:07.245474,0 days 00:12:52.068516,0.05417314726635928,0.4173514220927351,0.0005678946505508211,RMSprop,1203.0709676278366,COMPLETE
2,0.72885,2024-01-31 00:24:07.246167,2024-01-31 00:36:59.112759,0 days 00:12:51.866592,0.0811603258153219,0.04028400886764207,0.0038918123962763907,Adam,527.601579548704,COMPLETE
3,0.5,2024-01-31 00:36:59.113452,2024-01-31 00:41:19.802354,0 days 00:04:20.688902,0.9185505857674202,0.048643592851958344,0.18313069537464746,RMSprop,1102.7208186342214,PRUNED
4,0.5,2024-01-31 00:41:19.802861,2024-01-31 00:45:37.505288,0 days 00:04:17.702427,0.1686108246710755,0.5522325635546598,0.008004678886674657,RMSprop,267.4808130725444,PRUNED
5,0.79365,2024-01-31 00:45:37.505766,2024-01-31 00:58:25.502270,0 days 00:12:47.996504,0.07242596708364689,0.23483315783212727,0.0003992684369063446,RMSprop,584.4196022021841,COMPLETE
6,0.50495,2024-01-31 00:58:25.502935,2024-01-31 01:11:13.982573,0 days 00:12:48.479638,0.13552352185592578,0.8941426223462069,0.01639708313273553,SGD,443.52126739750776,COMPLETE
7,0.5,2024-01-31 01:11:13.983303,2024-01-31 01:15:31.755431,0 days 00:04:17.772128,0.2629508279159663,0.7597546116312461,0.12855617212348822,Adam,2029.5828498481997,PRUNED
8,0.6179,2024-01-31 01:15:31.755870,2024-01-31 01:19:49.058824,0 days 00:04:17.302954,0.2687326378978949,0.023484253024508378,4.838236770839829e-05,Adam,304.40097290032026,PRUNED
9,0.68935,2024-01-31 01:19:49.059247,2024-01-31 01:24:06.008220,0 days 00:04:16.948973,0.08650265908213768,0.4626725061957298,9.587990026992925e-05,Adam,127.6052536450558,PRUNED
10,0.5,2024-01-31 01:24:06.008641,2024-01-31 01:28:22.733307,0 days 00:04:16.724666,0.05372794645341616,0.14046691911508769,0.0006120942013568317,SGD,2906.5507988612103,PRUNED
11,0.8116,2024-01-31 01:28:22.733738,2024-01-31 01:41:13.214324,0 days 00:12:50.480586,0.06137135607592932,0.21528657829220968,0.0008886686175449494,RMSprop,1193.4492966564944,COMPLETE
12,0.5408,2024-01-31 01:41:13.214972,2024-01-31 01:45:31.060233,0 days 00:04:17.845261,0.05164514959025013,0.25959124147651774,1.6277558514531953e-05,RMSprop,1358.2601786831624,PRUNED
13,0.7128,2024-01-31 01:45:31.060650,2024-01-31 01:49:48.586018,0 days 00:04:17.525368,0.10762248786924648,0.11166019704740408,0.0013436521969781262,RMSprop,1456.8176482780768,PRUNED
14,0.7115,2024-01-31 01:49:48.586439,2024-01-31 01:54:06.707489,0 days 00:04:18.121050,0.050818959002950595,0.014000596976131567,0.0001896991243355832,RMSprop,999.8627390791022,PRUNED
15,0.6828,2024-01-31 01:54:06.707933,2024-01-31 01:58:24.853760,0 days 00:04:18.145827,0.13038409132388432,0.26478428997074277,0.001841440802203672,RMSprop,1828.0492889449843,PRUNED
16,0.5,2024-01-31 01:58:24.854183,2024-01-31 02:02:39.906752,0 days 00:04:15.052569,0.07245707162617586,0.07593445165959287,0.0004904330679782861,SGD,808.5370290055943,PRUNED
17,0.50005,2024-01-31 02:02:39.907172,2024-01-31 02:06:53.544789,0 days 00:04:13.637617,0.1010045302007924,0.43321325548767153,0.014337807216522563,RMSprop,2974.476795192956,PRUNED
18,0.5,2024-01-31 02:06:53.545220,2024-01-31 02:11:07.360238,0 days 00:04:13.815018,0.06748565624129077,0.17542343815846198,0.6092419834666952,RMSprop,1788.0642159530908,PRUNED
19,0.50015,2024-01-31 02:11:07.360662,2024-01-31 02:15:21.206213,0 days 00:04:13.845551,0.10534632046009039,0.08412344778411852,0.0014888102214671872,SGD,1066.2123566093358,PRUNED
20,0.67555,2024-01-31 02:15:21.206640,2024-01-31 02:19:36.787577,0 days 00:04:15.580937,0.17409350533394186,0.31933702566665856,0.00016394292669185198,RMSprop,698.3490464196573,PRUNED
21,0.7105,2024-01-31 02:19:36.788024,2024-01-31 02:23:53.318972,0 days 00:04:16.530948,0.06616766219891028,0.19952904154588633,0.0005185346844414144,RMSprop,619.7362609581578,PRUNED
22,0.6508,2024-01-31 02:23:53.319393,2024-01-31 02:28:10.090824,0 days 00:04:16.771431,0.06594167358603487,0.1873404992654558,0.00035517758799081595,RMSprop,999.1769879954552,PRUNED
23,0.6846,2024-01-31 02:28:10.091263,2024-01-31 02:32:27.557913,0 days 00:04:17.466650,0.08365983421782917,0.35188468809813384,6.336368908587817e-05,RMSprop,478.34144030029535,PRUNED
24,0.5854,2024-01-31 02:32:27.558335,2024-01-31 02:36:44.783835,0 days 00:04:17.225500,0.06379490031781986,0.24807485691095948,0.0034831592829966287,RMSprop,1301.8456160606058,PRUNED
25,0.6443,2024-01-31 02:36:44.784271,2024-01-31 02:41:02.405051,0 days 00:04:17.620780,0.05708573341710142,0.587285147457208,0.0011912696800380658,RMSprop,791.6860801836156,PRUNED
26,0.78745,2024-01-31 02:41:02.405476,2024-01-31 02:53:51.195001,0 days 00:12:48.789525,0.05068617081429342,0.385299683019509,0.00032275200150995003,RMSprop,609.4475781979899,COMPLETE
27,0.69435,2024-01-31 02:53:51.195646,2024-01-31 02:58:07.965585,0 days 00:04:16.769939,0.08171704665997236,0.12717400202264525,0.0001595558296052244,RMSprop,909.737742835429,PRUNED
28,0.5,2024-01-31 02:58:07.966007,2024-01-31 03:02:24.954305,0 days 00:04:16.988298,0.0665848662515462,0.6644956350959281,0.0007783719680070056,SGD,1446.1052886208722,PRUNED
29,0.6919,2024-01-31 03:02:24.954730,2024-01-31 03:06:41.185514,0 days 00:04:16.230784,0.09195746365996008,0.8676986664267579,0.0038753749738699677,Adam,812.9500311804394,PRUNED
30,0.5726,2024-01-31 03:06:41.185937,2024-01-31 03:10:55.915404,0 days 00:04:14.729467,0.11581745756195358,0.3147831606196024,3.3842842601992586e-05,RMSprop,718.9937684014008,PRUNED
31,0.75835,2024-01-31 03:10:55.915824,2024-01-31 03:19:22.775279,0 days 00:08:26.859455,0.0529670421721239,0.41322036190634903,0.00026924525865450606,RMSprop,593.1531318178305,PRUNED
32,0.71405,2024-01-31 03:19:22.775701,2024-01-31 03:23:35.225875,0 days 00:04:12.450174,0.07993260404795548,0.5272952315260081,0.0003112616889434903,RMSprop,580.0298648840292,PRUNED
33,0.70355,2024-01-31 03:23:35.226301,2024-01-31 03:27:47.808809,0 days 00:04:12.582508,0.06002244417190788,0.37479080072705706,0.0001187901495253113,RMSprop,1166.8815209229529,PRUNED
34,0.7711,2024-01-31 03:27:47.809228,2024-01-31 03:40:26.153159,0 days 00:12:38.343931,0.07636905004295776,0.22577774321606087,0.000666104961428257,RMSprop,401.45442698865344,PRUNED
35,0.6212,2024-01-31 03:40:26.153581,2024-01-31 03:44:40.149368,0 days 00:04:13.995787,0.050709010104786865,0.1551811390227482,0.0020863835636344605,RMSprop,977.5178268016743,PRUNED
36,0.82035,2024-01-31 03:44:40.149794,2024-01-31 03:57:36.177650,0 days 00:12:56.027856,0.08972155720912305,0.5976588854269287,0.00032274225864289437,Adam,673.7776750640076,COMPLETE
37,0.7955,2024-01-31 03:57:36.178330,2024-01-31 04:10:29.006728,0 days 00:12:52.828398,0.09278498266643784,0.9827257127800219,0.0008267037331769569,Adam,418.44645470105445,COMPLETE
38,0.53615,2024-01-31 04:10:29.007355,2024-01-31 04:14:47.616407,0 days 00:04:18.609052,0.09160358766149228,0.8994024340637252,0.007130102435501467,Adam,432.4917468170871,PRUNED
39,0.69715,2024-01-31 04:14:47.616831,2024-01-31 04:19:05.915565,0 days 00:04:18.298734,0.13478923011171767,0.7680494845433746,0.000844477977755306,Adam,383.33282015755844,PRUNED
40,0.6395,2024-01-31 04:19:05.915985,2024-01-31 04:23:24.121853,0 days 00:04:18.205868,0.16289241107910993,0.6188753422612625,0.002995104678686082,Adam,330.12038849953393,PRUNED
41,0.79095,2024-01-31 04:23:24.122275,2024-01-31 04:32:00.550520,0 days 00:08:36.428245,0.09264087709274789,0.9999871700986452,0.0009677534842057959,Adam,504.02618841610376,PRUNED
42,0.78475,2024-01-31 04:32:00.550943,2024-01-31 04:40:31.904025,0 days 00:08:31.353082,0.07226346048733369,0.5044046551721365,0.00024687588964168814,Adam,533.3655301794469,PRUNED
43,0.70485,2024-01-31 04:40:31.904448,2024-01-31 04:44:49.171555,0 days 00:04:17.267107,0.06025499781578268,0.6619799768781517,8.783062681506223e-05,Adam,695.7627539659813,PRUNED
44,0.83895,2024-01-31 04:44:49.171978,2024-01-31 04:57:41.694213,0 days 00:12:52.522235,0.07666127760888049,0.7089004642025583,0.0004944336650109651,Adam,258.7647082882931,COMPLETE
45,0.75695,2024-01-31 04:57:41.694859,2024-01-31 05:06:11.520351,0 days 00:08:29.825492,0.0771955966141292,0.7683647414433193,0.000522683049623683,Adam,261.4378724564931,PRUNED
46,0.63845,2024-01-31 05:06:11.520775,2024-01-31 05:10:24.153378,0 days 00:04:12.632603,0.09338592149292142,0.4902528107529117,0.0021497096445090157,Adam,219.95231142358728,PRUNED
47,0.71975,2024-01-31 05:10:24.153799,2024-01-31 05:23:09.315968,0 days 00:12:45.162169,0.05948328553085383,0.598642984222189,0.0010804884562093588,Adam,369.7188847264998,COMPLETE
48,0.77175,2024-01-31 05:23:09.316632,2024-01-31 05:31:38.090942,0 days 00:08:28.774310,0.10777494525296925,0.4630662351971085,0.00018788245292583331,Adam,1189.6592041380409,PRUNED
49,0.7279,2024-01-31 05:31:38.091363,2024-01-31 05:35:51.266742,0 days 00:04:13.175379,0.07167382866578335,0.9719934451595412,0.000501609794375007,Adam,473.77135421568,PRUNED
